BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate
0RR9,TAYLOR ENERGY COMPANY INC.,ATT: ALTAGAS LTD. 355 4 AVE SW SUITE 1700   CALGARY AB CA T2P 0J1,780-422-1395,DISSOLUTION/DISSOLVED,2009-10-31,,,
0RT1,REAL RESOURCES INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1996-09-01,0FH5,PRISM PETROLEUM INC.,2002-10-31
0RT2,1202053 ONTARIO LIMITED,250 5 AVE SW SUITE 1500    CALGARY AB CA T2P 3H7,780-422-1395,STRUCK,2008-10-17,,,
0RT3,ESKER RESOURCES LTD.,RIDER RESOURCES LTD. 333 7 AVE SW SUITE 1701   CALGARY AB CA T2P 2Z1,403-266-0844,AMALGAMATED,2003-01-01,0RX9,ROBERTS BAY RESOURCES LTD.,2003-05-31
0RT4,COMPLIANCE ENGINEERING TECHNOLOGIES INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1999-03-13,,,
0RT5,GRANISKO RESOURCES INC,111 5 AVE SW SUITE 3100    CALGARY AB CA T2P 5L3,780-422-1395,STRUCK,1999-08-01,,,
0RT6,PARA-TECH ENERGY SERVICES INC.,ATTN: KEN HUGHES 703 6 AVE SW SUITE 360   CALGARY AB CA T2P 0T9,403-290-1421,STRUCK,2005-06-02,,,
0RT7,VESTA ENERGY CANADA LTD,505 3 ST SW SUITE 1001    CALGARY AB CA T2P 3E6,780-422-1395,STRUCK,1999-03-13,,,
0RT8,PAN EAST PETROLEUM CORP,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1994-01-01,0MM2,PAN EAST PETROLEUM CORP,2002-10-31
0RT9,CANADIAN PROGRESS RESOURCES LIMITED,4029 EDGEVALLEY LANDING NW    CALGARY AB CA T3A 5H1,780-422-1395,ACTIVE,2002-10-01,,,
0RW1,LARAMIDE OIL & GAS LTD.,825 8 AVE SW SUITE 800    CALGARY AB CA T2P 2T3,403-234-9350,ACTIVE,2017-05-02,,,
0RW2,TRANSCANADA GAS SERVICES LIMITED,530 8 AVE SW SUITE 2400 PO BOX 500 STN M   CALGARY AB CA T2P 3V6,780-422-1395,AMALGAMATED,1997-02-01,0NPM,TRANSCANADA ENERGY LTD.,2002-10-31
0RW3,VERMILION RESOURCES LTD.,520 3 AVE SW SUITE 3500    CALGARY AB CA T2P 0R3,403-269-4884,AMALGAMATED,2013-01-01,A6FW,VERMILION ENERGY INC.,2013-04-30
0RW4,BEAVER LAKE RESOURCES CORPORATION,1019 MIDDLETON DR NE    CALGARY AB CA T2E 6C2,403-269-5550,ACTIVE,1989-05-01,,,
0RW5,MURPHY OIL CANADA,520 3 AVE SW SUITE 4000 PO BOX 2721 STN M   CALGARY AB CA T2P 3Y3,403-294-8000,ACTIVE,1992-09-01,,,
0RW6,BIRCHILL RESOURCES LIMITED,715 5 AVE SW SUITE 900    CALGARY AB CA T2P 2X6,403-261-2002,AMALGAMATED,2004-03-08,0TR8,SHININGBANK ENERGY LTD.,2004-06-30
0RW7,NOVERGAZ INC,740 NOTRE DAME W SUITE 1400    MONTREAL QC CA H3C 3X6,780-422-1395,STRUCK,1999-06-01,,,
0RW8,NOVERCO INC,441 5 AVE SW SUITE 475    CALGARY AB CA T2P 2V1,780-422-1395,STRUCK,1994-02-07,,,
0RW9,MERCURY ENERGY CORPORATION LTD,333 11 AVE SW SUITE 1130 BOX 7   CALGARY AB CA T2R 1L9,780-422-1395,AMALGAMATED,1997-11-01,0NN5,TETHYS ENERGY INC.,2002-10-31
0RX1,DRH CONSULTING LTD.,DONALD R HILL 5912 DALMEAD CRES NW   CALGARY AB CA T3A 1E6,403-296-1199,DISSOLUTION/DISSOLVED,2017-11-30,,,
0RX2,S M I OIL & GAS INC,633 6 AVE SW SUITE 1500    CALGARY AB CA T2P 2Y5,780-422-1395,AMALGAMATED,1995-12-01,0TE2,CENTURION ENERGY INTERNATIONAL INC.,2002-10-31
0RX3,ASHER ENGINEERING LTD.,839 5 AVE SW SUITE 200    CALGARY AB CA T2P 3C8,780-422-1395,ACTIVE,2005-10-02,,,
0RX4,ADM AGRI-INDUSTRIES LTD.,PO BOX 160    MEDICINE HAT AB CA T1A 7E8,403-526-2876,AMALGAMATED,2002-12-02,A06P,ADM AGRI-INDUSTRIES COMPANY,2003-05-31
0RX5,PETROSHALE INC.,350 7 AVE SW SUITE 3900    CALGARY AB CA T2P 3N9,403-513-0107,ACTIVE,1994-01-01,,,
0RX6,PHILLIPS MORRISON RESOURCES LTD,PHILLIPS PETROLEUM RESOURCES L MINERAL LAND DEPARTMENT PO BOX 1967  HOUSTON TX US 772511967,780-422-1395,STRUCK,2001-03-02,,,
0RX7,RUDE RAYMOND ,PO BOX 8    SEDALIA AB CA T0J 3C0,780-422-1395,NON REGISTERED,2002-10-01,,,
0RX8,CALJAM OIL & GAS LTD,GRANT TRIMBLE ENGINEERING LTD 801 6 AVE SW SUITE 2200   CALGARY AB CA T2P 3W2,780-422-1395,STRUCK,2000-03-28,,,
0RX9,ROBERTS BAY RESOURCES LTD.,RIDER RESOURCES LTD 333 7 AVE SW SUITE 1701   CALGARY AB CA T2P 2Z1,403-781-2410,AMALGAMATED,2009-01-01,A0A7,NUVISTA ENERGY LTD.,2009-04-30
0RY1,DEVON AOG CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1996-02-01,0K16,ULSTER PETROLEUMS LTD.,2002-10-31
0RY2,DEVON AOG CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1996-02-01,0K16,ULSTER PETROLEUMS LTD.,2002-10-31
0RY3,CARMANAH RESOURCES LTD,PRICEWATERHOUSECOOPERS INC 639 5 AVE SW SUITE 2100   CALGARY AB CA T2P 0M9,780-422-1395,STRUCK,2003-03-02,,,
0RY4,BRYHART RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1995-08-01,,,
0RY5,STAMPEDER EXPLORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1996-12-01,0ND5,STAMPEDER EXPLORATION LTD.,2002-10-31
0RY6,TRISTAR GAS MARKETING COMPANY,300 N COIT RD SUITE 950    RICHARDSON TX US 75080-5451,214-373-2500,NON REGISTERED,2002-10-01,,,
0RY7,PCC ENERGY CORP,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0KP5,PCC ENERGY CORP,2002-10-31
0RY8,SOFTROCK MINERALS LTD.,825 8 AVE SW SUITE 1010    CALGARY AB CA T2P 2T3,780-422-1395,ACTIVE,1995-01-01,,,
0RY9,WASHINGTON ENERGY GAS MARKETING COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1996-09-01,,,
0RZ1,PEMBINA PIPELINE,PO BOX 6450    DRAYTON VALLEY AB CA T0E 0M0,780-422-1395,NON REGISTERED,1994-01-01,,,
0RZ2,STAMPGAS INC,521 3 AVE SW SUITE 1200    CALGARY AB CA T2P 3T3,780-422-1395,STRUCK,1997-07-01,,,
0RZ3,FOX ENERGY CORPORATION,700 9 AVE SW SUITE 1300    CALGARY AB CA T2P 3V4,780-422-1395,DISSOLUTION/DISSOLVED,2002-05-31,,,
0RZ4,SUN CENTURY PETROLEUM CORPORATION,550 6 AVE SW SUITE 1400    CALGARY AB CA T2P 0S2,403-269-2880,ACTIVE,1994-08-01,,,
0RZ5,919472 ALBERTA LTD.,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1996-04-01,0MZ3,919472 ALBERTA LTD,2002-10-31
0RZ6,SUNALTA ENERGY LTD,520 5 AVE SW SUITE 2400    CALGARY AB CA T2P 3R6,780-422-1395,AMALGAMATED,1995-12-01,0TJ1,SUNOMA ENERGY CORP,2002-10-31
0RZ7,KETCH ENERGY LTD,255 5 AVE SW SUITE 1900    CALGARY AB CA T2P 3G6,403-266-7232,AMALGAMATED,2003-01-01,0KX8,ACCLAIM ENERGY INC.,2003-07-31
0RZ8,WEST ISLE ENERGY INC.,PO BOX 600 STN M    CALGARY AB CA T2P 2J2,403-263-1977,START,2018-06-02,,,
0RZ9,NGX FINANCIAL INC,140 4 AVE SW SUITE 2810    CALGARY AB CA T2P 3N3,780-422-1395,AMALGAMATED,2002-11-01,529B,ICE NGX CANADA INC.,2003-06-30
0T00,SADDLE RESOURCES INC.,333 5 AVE SW SUITE 1400    CALGARY AB CA T2P 3B6,403-233-7778 Ext 251,AMALGAMATED,2002-07-01,0PT5,DEVLAN EXPLORATION INC.,2002-10-31
0T01,CALTO DEVELOPMENT LTD,"NEWHOUSE, GLEN 2319 SMITH ST   REGINA SK CA S4P 2P7",780-422-1395,STRUCK,1994-09-20,,,
0T02,CHEVRON CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0045,CHEVRON CANADA LIMITED,2002-10-31
0T03,SHELL CANADA LIMITED,"MANAGER, ROYALTY COMPLIANCE 400 4 AVE SW PO BOX 100 STN M  CALGARY AB CA T2P 2H5",403-691-3111,ACTIVE,1984-12-01,,,
0T05,CANNAT RESOURCES INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0TM2,CANNAT RESOURCES INC.,2002-10-31
0T06,"HIGHLAND RESOURCES, INC",FIRST CITY TOWER 1001 FANNIN SUITE 4700   HOUSTON TX US 77002,780-422-1395,STRUCK,1988-03-01,,,
0T07,HERZOG CONSULTING LTD,3727 UTAH DR NW    CALGARY AB CA T2N 4A6,780-422-1395,STRUCK,2000-12-02,,,
0T08,NICOLAS GAS & OIL LTD.,439 SOUTHLAND CRES    OAKVILLE ON CA L6L 3N9,780-422-1395,DISSOLUTION/DISSOLVED,2005-11-23,,,
0T09,ARIES RESOURCES LTD,COOPERS & LYBRAND LIMITED 255 5 AVE SW SUITE 2400   CALGARY AB CA T2P 3G6,780-422-1395,STRUCK,1994-10-01,,,
0T0A,CAPITAL BAG CO. LTD.,PO BOX 10020    VANCOUVER BC CA V7Y 1A7,780-422-1395,STRUCK,1991-02-01,,,
0T0B,CHARGER ENERGY CORPORATION,421 7 AVE SW SUITE 2406    CALGARY AB CA T2P 4K9,780-422-1395,STRUCK,2000-06-01,,,
0T0C,CITIC WESTERN CANADA LTD,1030 W GEORGIA ST SUITE 1502    VANCOUVER BC CA V6E 2Y3,780-422-1395,STRUCK,2000-09-02,,,
0T0D,CLASSIC RESOURCES (1983) LTD,801 2 AVE SW SUITE 704    CALGARY AB CA T2P 4Z9,780-422-1395,STRUCK,1999-04-09,,,
0T0E,CLAYTRON ENERGY CORPORATION,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,780-422-1395,ACTIVE,2002-10-02,,,
0T0F,CLIFTON C. CROSS AND COMPANY LIMITED,1414 8 ST SW SUITE 330    CALGARY AB CA T2R 1J6,780-422-1395,STRUCK,2012-10-02,,,
0T0G,CN EXPLORATION INC,530 8 AVE SW SUITE 1300    CALGARY AB CA T2P 3S8,780-422-1395,STRUCK,1997-12-01,,,
0T0H,CONNEMARA RESOURCE VENTURES LIMITED,228 26 AVE SW SUITE 101    CALGARY AB CA T2S 3C6,403-562-2852,STRUCK,2017-01-02,,,
0T0J,CONSOLIDATED HCI HOLDINGS LTD,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,2002-10-02,,,
0T0K,NEOCORR ENGINEERING LTD.,635 8 AVE SW SUITE 500    CALGARY AB CA T2P 1H1,780-422-1395,STRUCK,2006-01-02,,,
0T0L,CONTINENTAL ORE & MINING CORPORATION LTD,2523 NORCEN TOWER 715 5 AVE SW   CALGARY AB CA T2P 0N2,780-422-1395,STRUCK,1989-08-04,,,
0T0M,CULLEN RESOURCES LTD,903 19 AVE SW SUITE 103    CALGARY AB CA T2T 0H8,780-422-1395,STRUCK,1999-02-01,,,
0T0N,D B & K OILS LTD,C O DW AXFORD & ASSOCIATES LTD 250 6 AVE SW SUITE 2160   CALGARY AB CA T2P 3H7,780-422-1395,STRUCK,1998-10-21,,,
0T0P,D.R. SUTTON CONSULTANTS LTD,910 7 AVE SW SUITE 800    CALGARY AB CA T2P 3N8,780-422-1395,STRUCK,2002-10-02,,,
0T0R,DALFORT LTD,HUSKY OIL OPERATIONS LIMITED 707 8 AVE FLOOR 19 PO BOX 6525 STN D  CALGARY AB CA T2P 3G7,780-422-1395,DISSOLUTION/DISSOLVED,1995-05-04,,,
0T0T,DAWLA OIL LTD,5809 MACLEOD TRAIL SW SUITE 215    CALGARY AB CA T2H 0J9,780-422-1395,STRUCK,2001-03-02,,,
0T0W,DEB CANADIAN EXPLORATIONS (1977) LTD,605 5 AVE SW SUITE 2300    CALGARY AB CA T2P 3H5,780-422-1395,NON REGISTERED,2002-10-01,,,
0T0X,DENTON ENERGY LTD,240 4 AVE SW SUITE 2900    CALGARY AB CA T2P 4H4,780-422-1395,DISSOLUTION/DISSOLVED,1999-07-21,,,
0T0Y,DOVER ENTERPRISES LTD,C    C AB CA T0T 0T0,780-422-1395,STRUCK,1999-07-01,,,
0T0Z,EDGEMONT RESOURCES CORP,5800 GRANVILLE AVE    RICHMOND BC CA V7C 1E9,780-422-1395,STRUCK,1991-12-01,,,
0T10,CARMANGAY OIL LTD,400 3 AVE SW SUITE 2200    CALGARY AB CA T2P 4H2,780-422-1395,AMALGAMATED,2002-10-01,0KT2,CARMANGAY OIL LTD.,2002-10-31
0T11,OMEGA TECHNO LTD,BOX 187    EDMONTON AB CA T5J 2J1,780-422-1395,STRUCK,1999-06-01,,,
0T12,PIPELINE TECHNOLOGISTS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,CONTINUED OUT,2002-10-01,,,
0T13,PRYDE FLAVIN CONSULTANTS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1984-04-30,,,
0T14,O'ROURKE ENGINEERING LTD.,2711 39 AVE NE    CALGARY AB CA T1Y 4T8,403-261-4991,AMALGAMATED,2002-10-01,A6YT,OEL PROJECTS LTD.,2014-11-30
0T15,CANADIAN CONQUEST EXPLORATION INC,521 3 AVE SW SUITE 1200 PO BOX 20036 RPO CALGARY PLACE   CALGARY AB CA T2P 4J2,780-422-1395,AMALGAMATED,1999-09-01,0C00,PRIMEWEST OIL AND GAS CORP,2002-10-31
0T16,ALLIED OIL & GAS CORP.,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0JP8,ALLIED OIL & GAS CORP.,2002-10-31
0T17,ROHLOFF NIVEN CO. LIMITED,6620 CENTER ST S    CALGARY AB CA T2H 0C6,780-422-1395,NON REGISTERED,2002-10-01,,,
0T18,HERITAGE ENGINEERING LIMITED,900 6 AVE SW SUITE 400    CALGARY AB CA T2P 3K2,780-422-1395,STRUCK,2017-02-02,,,
0T19,OFC ENGINEERING & CONSTRUCTION LTD,505 8 AVE SW SUITE 606    CALGARY AB CA T2P 0L9,780-422-1395,STRUCK,1986-12-01,,,
0T1A,EDWAND HOLDINGS LTD,717 7 AVE SW SUITE 1050    CALGARY AB CA T2P 0Z3,780-422-1395,STRUCK,1999-09-02,,,
0T1B,EIGER OIL & GAS LTD,4012 VARDELL RD NW    CALGARY AB CA T3A 0C4,780-422-1395,STRUCK,1999-02-01,,,
0T1C,ENERCANA CAPITAL LIMITED,7675 ELKTON DR SW    CALGARY AB CA T3H 3X4,780-422-1395,ACTIVE,2004-07-19,,,
0T1D,ESSO RESOURCES PROPERTIES INC,PROPERTY AGREEMENTS ESSO PLAZA WEST 237 4 AVE SW PO BOX 2480 STN M CALGARY AB CA T2P 3M9,780-422-1395,DISSOLUTION/DISSOLVED,1998-12-08,,,
0T1E,EUROSOURCE ENERGY INC,555 4 AVE SW SUITE 950    CALGARY AB CA T2P 3E7,780-422-1395,STRUCK,1997-07-31,,,
0T1F,FALCON POINT RESOURCES LIMITED,6295 KESTREL RD    MISSISSAUGA ON CA L5T 1Z4,780-422-1395,STRUCK,2001-04-02,,,
0T1G,FOREST OIL OF CANADA LTD,C O CANADIAN FOREST OIL LTD 800 6 AVE SW SUITE 600   CALGARY AB CA T2P 3G3,780-422-1395,STRUCK,1996-12-09,,,
0T1H,FORSEVEN LTD,33 SYDNEY DR SW    CALGARY AB CA T2W 0S7,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T1J,FORWARDERS PROPERTIES LTD,3432 PAUL ANKA DR    OTTAWA ON CA K1V 9K6,780-422-1395,STRUCK,2001-07-02,,,
0T1K,FOUR STAR RESOURCES LTD,350 7 AVE SW SUITE 1900    CALGARY AB CA T2P 3N9,780-422-1395,STRUCK,1999-02-01,,,
0T1L,GALLAGER OILS LTD,PO BOX 5721 STN L    EDMONTON AB CA T6C 4G2,780-422-1395,STRUCK,1995-02-01,,,
0T1N,GEORGE L. BARTLETT OIL & GAS LTD,116 CENTRAL PARK S    NEW YORK NY US 10019,780-422-1395,STRUCK,1999-03-13,,,
0T1P,GLACIER OILS LTD,1625 SHELBOURNE ST SW    CALGARY AB CA T3C 2L2,780-422-1395,STRUCK,1996-08-01,,,
0T1R,GOLD MOUNTAIN RESOURCES LIMITED,400 4 AVE SW SUITE 3200    CALGARY AB CA T2P 0X9,780-422-1395,STRUCK,1992-08-01,,,
0T1T,GRQ ENERGY LTD,175 SILVER CREST CRES NW    CALGARY AB CA T3B 3T8,780-422-1395,DISSOLUTION/DISSOLVED,1999-12-23,,,
0T1W,HOHUF HOLDINGS LTD,888 3 ST SW SUITE 4300    CALGARY AB CA T2P 5C5,780-422-1395,CONTINUED OUT,2002-10-01,,,
0T1X,HORIZON OIL & GAS CO,GAS ROYALTY CLIENT SERVICES PETROLEUM PLAZA NORTH TOWER 9945 108 ST NW FLOOR 8  EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1996-10-01,,,
0T1Y,HPIL RESOURCES LTD,550 6 AVE SUITE 725    CALGARY AB CA T2P 0S2,780-422-1395,STRUCK,1993-06-01,,,
0T1Z,HUNT CATTLE CO LTD,8721 53 AVE NW SUITE 200    EDMONTON AB CA T6E 5E9,780-422-1395,ACTIVE,2004-06-29,,,
0T20,DUCKWORTH PRICE HENDERSON & ASSOCIATES LTD,480 36 AVE SE    CALGARY AB CA T2T 1W4,780-422-1395,DISSOLUTION/DISSOLVED,2003-07-07,,,
0T21,WOOFTER PETROLEUM CONSULTANTS LTD,401 CITADEL HILLS CIR NW    CALGARY AB CA T3G 3V7,780-422-1395,ACTIVE,2002-10-01,,,
0T22,CORDEX PETROLEUMS INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0JE7,CORDEX PETROLEUMS INC,2002-10-31
0T23,PURE OIL & GAS CO. LTD.,4519 16A ST SW    CALGARY AB CA T2T 4L8,403-233-7426,ACTIVE,1994-01-01,,,
0T24,CHIEF SENECA OIL & GAS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0R53,CHIEF SENECA OIL & GAS LTD,2002-10-31
0T25,MIDALE RESOURCES,PO BOX 309    MIDALE SK CA S0C 1S0,780-422-1395,NON REGISTERED,1991-08-01,,,
0T26,"PAINTEARTH 18, COUNTY OF",PO BOX 509    CASTOR AB CA T0C 0X0,780-422-1395,NON REGISTERED,2002-10-01,,,
0T27,WINDFALL PETROLEUMS LTD,PO BOX 420    OLDS AB CA T0M 1P0,780-422-1395,STRUCK,1982-11-15,,,
0T28,THUMPER RESOURCES LTD,FARRIES EQUITIES LTD 630 6 AVE SW   CALGARY AB CA T2P 0S8,780-422-1395,STRUCK,1982-09-30,,,
0T29,BARNES PETROLEUM CONSULTANTS LTD,28 CARDIFF PLACE NW    CALGARY AB CA T2K 1S3,780-422-1395,STRUCK,1988-02-01,,,
0T2A,I.G. RESOURCES INC,323 10 AVE SW SUITE 310    CALGARY AB CA T2R 0A5,780-422-1395,DISSOLUTION/DISSOLVED,1999-08-16,,,
0T2B,INTERLAKE DEVELOPMENT CORP,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,2002-10-02,,,
0T2C,IRONSIDE ENERGY LTD,210 DIAMOND DR SE    CALGARY AB CA T2J 7C8,780-422-1395,STRUCK,2000-05-01,,,
0T2D,JOHN LAWRENCE (OIL & GAS) LIMITED,CANADA TRUST BUILDING 505 3 ST SW SUITE 1304   CALGARY AB CA T2P 3E6,780-422-1395,STRUCK,2000-03-01,,,
0T2E,KENESEN RESOURCES LTD,717 7 AVE SW SUITE 1480    CALGARY AB CA T2P 0Z3,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T2F,KENSBROOK DEVELOPMENT CORPORATION,444 5 AVE SW SUITE 2200    CALGARY AB CA T2P 2T8,780-422-1395,STRUCK,1997-07-01,,,
0T2G,KLUANE RESOURCES LTD,428 2 ST W SUITE 106    BROOKS AB CA T1R 0E9,780-422-1395,STRUCK,1997-10-01,,,
0T2H,KONEXCO ENERGY INC,333 5 AVE SW SUITE 630    CALGARY AB CA T2P 3B6,780-422-1395,STRUCK,1999-02-01,,,
0T2J,L & A INVESTMENTS LIMITED,177 LOMBARD AVE SUITE 500    WINNIPEG MB CA R3B 0W5,780-422-1395,STRUCK,2000-02-01,,,
0T2K,L & M HOLDINGS LTD,639 5 AVE SW SUITE 800    CALGARY AB CA T2P 0M9,780-422-1395,STRUCK,1993-10-01,,,
0T2L,L. HOLM MECHANICAL LTD,4901 48 ST SUITE 501    RED DEER AB CA T4N 6M4,780-422-1395,STRUCK,1999-02-01,,,
0T2M,L J INTERNATIONAL LIMITED,METARIS INC 650 STEEPROCK DR   DOWNSVIEW ON CA M3J 2X1,780-422-1395,STRUCK,1999-08-01,,,
0T2N,LASMO (WP) INC,CANADIAN NATURAL RESOURCES LIMITED 855 2 ST SW SUITE 2500 PO BOX 6926 STN D  CALGARY AB CA T2P 2G1,780-422-1395,STRUCK,2001-11-02,,,
0T2P,LEELAND OIL & GAS LTD.,975 LAKE PLACID DR SE    CALGARY AB CA T2J 4Z9,780-422-1395,ACTIVE,2007-12-18,,,
0T2R,LOMAR CONSULTING LTD,4901 FARRELL AVE SUITE 9    RED DEER AB CA T4N 6W2,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T2T,LORAM INTERNATIONAL LTD,707 8 AVE SW SUITE 3000 PO BOX 2550   CALGARY AB CA T2P 2M7,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T2W,LUBICON HOLDINGS LTD,636 11 AVE SW SUITE 203    CALGARY AB CA T2R 0E2,780-422-1395,STRUCK,1996-11-01,,,
0T2X,MALCO DEVELOPMENT CORP.,645 7 AVE SW SUITE 2700    CALGARY AB CA T2P 4G8,780-422-1395,STRUCK,2008-08-02,,,
0T2Y,MAPLE WOOD HOLDINGS LTD,824 RIVERSIDE DR    HIGH RIVER AB CA T1V 1S3,780-422-1395,STRUCK,1999-09-02,,,
0T2Z,MARHANNA HOLDINGS LTD,10235 101 ST FLOOR 4    EDMONTON AB CA T5J 3G1,780-422-1395,STRUCK,1989-06-01,,,
0T30,COMMERCIAL OIL AND GAS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0AY5,COMMERCIAL OIL AND GAS LTD,2002-10-31
0T31,BANDERA RESOURCES LTD,GULF CANADA SQ BUILDING 401 9 AVE SW SUITE 610   CALGARY AB CA T2P 3C5,780-422-1395,STRUCK,1981-12-31,,,
0T32,RANDLE RANCHES LIMITED,"RANDLE, JIM RR 1   BLACKIE AB CA T0L 0J0",403-684-3563,ACTIVE,2014-03-02,,,
0T33,NOYES SUPERVISION (1981) LTD.,520 5 AVE SW SUITE 410    CALGARY AB CA T2P 3R7,780-422-1395,STRUCK,2006-10-02,,,
0T34,TEG HOLDINGS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0EX9,TEG HOLDINGS LTD.,2002-10-31
0T35,"PCS PHOSPHATE COMPANY, INC",HIGHRIDGE PARK PO BOX 10037   STAMFORD CT US 06904,780-422-1395,STRUCK,1996-04-01,,,
0T36,REID CROWTHER & PARTNERS LIMITED,REID CROWTHER BUILDING 17203 103 AVE NW   EDMONTON AB CA T5S 1J4,780-422-1395,CONTINUED OUT,2001-10-04,,,
0T37,MCBEAN & PARTNERS ENGINEERING LTD,6120 11 ST SE SUITE 4    CALGARY AB CA T2H 2L7,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T38,RICHLYN GTF LTD.,4110 79 ST NW    CALGARY AB CA T3B 5C2,780-422-1395,AMALGAMATED,2017-01-01,A7JJ,MARARD HOLDINGS LTD.,2017-04-30
0T39,MONTANA BAND ENTERPRISES,PO BOX 279    HOBBEMA AB CA T0C 1N0,780-422-1395,ACTIVE,2002-10-01,,,
0T3A,MARTEC RESOURCES LTD,510 5 ST SW SUITE 1825    CALGARY AB CA T2P 3S2,780-422-1395,STRUCK,1993-09-01,,,
0T3B,MEACON BAY RESOURCES INC,24 HAZELTON AVE    TORONTO ON CA M5R 2E2,780-422-1395,STRUCK,1997-12-01,,,
0T3C,THE MONARCH LIFE ASSURANCE COMPANY,200 BLOOR ST E    TORONTO ON CA M4W 1E5,780-422-1395,STRUCK,1960-12-25,,,
0T3D,MURWIL DEVELOPMENTS LTD,2371 LONGRIDGE DR SW    CALGARY AB CA T3E 5N7,780-422-1395,STRUCK,2000-01-05,,,
0T3E,N.I. OIL & GAS (ALBERTA) LTD.,700 9 AVE SW FLOOR 30    CALGARY AB CA T2P 4A7,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0T3F,NCE ENERGY ASSETS (1991) PARTNERSHIP,444 7 AVE SW SUITE 600    CALGARY AB CA T2P 0X8,780-422-1395,DISSOLUTION/DISSOLVED,1999-10-07,,,
0T3G,NCO ACQUISITION LIMITED,PO BOX 2595 STN M    CALGARY AB CA T2P 2M7,780-422-1395,STRUCK,1999-02-01,,,
0T3H,NEPTUNE RESOURCES CORP,999 8 ST SW SUITE 710    CALGARY AB CA T2R 1J5,780-422-1395,STRUCK,2000-12-10,,,
0T3J,NEVADA OIL & GAS LTD,20 EGLINTON WEST SUITE 2000    TORONTO ON CA M4R 1K8,780-422-1395,STRUCK,2001-11-02,,,
0T3K,NISSHO IWAI CANADA LTD/NISSHO IWAI CANADA LTEE,150 KING SW W SUITE 1506    TORONTO ON CA M5H 1J9,780-422-1395,STRUCK,1994-08-01,,,
0T3L,NORM SANDAU CONTRACTORS LIMITED,BOX 12 SITE 16 SS 1   CALGARY AB CA T2M 4N3,780-422-1395,STRUCK,1998-10-22,,,
0T3M,NORTHERN FORTRESS LIMITED,CHENERGY DOBSON RESRUCES MANAGEM CANADA TRUST BUILDING 505 3 ST SW SUITE 1304  CALGARY AB CA T2P 3E6,780-422-1395,STRUCK,1994-12-01,,,
0T3N,NORTHERN GEOSERVICES (1986) LTD,C 0 MAXX PETROLEUM LTD 606 4 ST SW SUITE 900   CALGARY AB CA T2P 1T1,780-422-1395,DISSOLUTION/DISSOLVED,1999-12-17,,,
0T3P,NORTHERN GROWTH CAPITAL LTD,2836 42 ST SW    CALGARY AB CA T3E 3M1,780-422-1395,STRUCK,2001-03-02,,,
