Month,Year,Corporate Entity,Pipeline Name,Key Point, Total Nominations (1000 m3/d) ,Apportionment percent
12,2010,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,444.8,27%
1,2009,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,372.6,6%
2,2009,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,343.8,6%
3,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,340.5,0%
4,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,337,0%
5,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,355.6,0%
6,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,377.1,0%
7,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,370.4,0%
8,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,364.4,0%
9,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,369,0%
10,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,360.8,0%
11,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,378.5,0%
12,2009,Enbridge Pipelines Inc.,Canadian Mainline,N/A,377.1,0%
1,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,372.3,0%
2,2008,Enbridge Pipelines Inc.,Canadian Mainline,Superior,394.7,3%
2,2008,Enbridge Pipelines Inc.,Canadian Mainline,Superior,394.7,3%
3,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,360.7,0%
4,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,328.7,0%
5,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,350.9,0%
6,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,359.8,0%
7,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,341.7,0%
8,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,342.4,0%
9,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,329.9,0%
10,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,361.2,0%
11,2008,Enbridge Pipelines Inc.,Canadian Mainline,N/A,367.2,0%
12,2008,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,390.8,24%
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,348.9,0%
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,356.2,0%
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,358.9,0%
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,341.3,0%
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,324.5,0%
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,326.4,0%
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,324.3,0%
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,329.5,0%
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,340.1,0%
10,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,345.5,0%
11,2007,Enbridge Pipelines Inc.,Canadian Mainline,Superior,366.3,7%
11,2007,Enbridge Pipelines Inc.,Canadian Mainline,Superior,366.3,7%
12,2007,Enbridge Pipelines Inc.,Canadian Mainline,N/A,380.5,0%
7,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,614,10%
7,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,614,2%
7,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,614,23%
8,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,544,19%
9,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,538,10%
7,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.32,0%
8,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.36,0%
9,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.11,0%
10,2017,Kinder Morgan,Cochin,Ft. Saskatchewan,14.62,0%
11,2017,Kinder Morgan,Cochin,Ft. Saskatchewan,13.73,0%
12,2017,Kinder Morgan,Cochin,Ft. Saskatchewan,12.23,0%
10,2017,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",116.08,22%
11,2017,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",98.03,8%
12,2017,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",126.63,27%
10,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.13,0%
11,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.08,0%
12,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.08,0%
10,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,557.53,18%
11,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,612.39,5%
11,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,612.39,14%
12,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,667.18,21%
12,2017,Enbridge Pipelines Inc.,Canadian Mainline,Clearbrook,667.18,5%
12,2017,Enbridge Pipelines Inc.,Canadian Mainline,Westover,667.18,6%
10,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,53,17%
11,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,67,24%
12,2017,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,64,23%
1,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,65,35%
2,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,72,32%
3,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,68,32%
1,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,13.04,0%
2,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,14.09,0%
3,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,15.15,0%
1,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",137.53,31%
2,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",139.34,32%
3,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",136.98,32%
1,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.1,0%
2,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.1,0%
3,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.1,0%
1,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,778.53,36%
1,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,778.53,17%
2,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,843.81,46%
2,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,843.81,23%
3,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,846.07,51%
3,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,846.07,9%
4,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,829.8328,50%
5,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,835.0677097,43%
5,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,835.0677097,31%
6,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,868.5858333,45%
6,2018,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,868.5858333,43%
4,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.05,0%
5,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.06,0%
6,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,0.05,0%
4,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,15.39663115,0%
5,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,11.94441244,0%
6,2018,Kinder Morgan,Cochin,Ft. Saskatchewan,14.57383484,0%
4,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,83,44%
5,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,79,38%
6,2018,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,81,43%
4,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",142.63,33%
5,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",124.81,25%
6,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",122.51,23%
