"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"3327","burnaby now","2014-07-02","Provide comment on the City of Burnaby's news release.","Did not provide comment, however provided information from the original decision to clarify the information in the City of Burnaby's news release.","2014-07-05","print/web","trans mountain"
"3328","bloomberg","2014-07-08","Update on TMPL pressure restriction","Responded using media lines","2014-07-08","print/web","safety and environmental protection"
"3329","daily oil bulletin","2014-07-08","Looking for Steelhead LNG export license applications","sent link when available","2014-07-09","print/web","lng"
"3330","financial post","2014-07-08","Looking for Steelhead LNG export license applications","sent link when available","2014-07-09","print/web","lng"
"3331","vancouver observer","2014-07-09","What is the latest update wrt Energy East?","Company indicates will file app in 3rd Quarter; Provided link to Additional Filing Guidance","2014-07-09","web","energy east"
"3332","globe and mail","2014-07-11","timelines for SSRW","Aug 1 timeline for comments on list of issues - otherwise, companies still need to file information with the Board.","2014-07-11","print/web","arctic"
"3333","burnaby now","2014-07-14","Whatare the NEB's next steps wrt the Tseuil-Waututh legal challenge?","T.W have 60 days from 10 July to file their appeal; When NEB sees appeal we will determine our next steps","2014-07-14","print/web","trans mountain"
"3334","international environment reporter","2014-07-14","Can you tell me how a same-season relief well works?","emailed link to Arctic Review report and to filing requirements ","2014-07-14","print/web","arctic"
"3335","international environment reporter","2014-07-14","What are the NEB's next steps wrt Tseuil-Waututh legal challenge?","T.W have 60 days from 10 July to file their appeal; When NEB sees appeal we will determine our next steps","2014-07-14","print/web","trans mountain"
"3336","alternatives journal","2014-07-14","Question about an Enbridge document filed with us re: Line9","Directed her to Enbridge to discuss their filings","2014-07-14","print/web","other major application"
"3337","info dimanche","2014-07-14","Which government body gives the final green light to authorise Energy East","Short background on process; ultimately GIC to authorise","2014-07-14","web","energy east"
"3338","bloomberg","2014-07-14","What is tomorrow's media briefing about? Can you send me a link to the TMX IR response of 10 June?","Provided Media Advisory, Cannot say more than this; Provided link to TMX IR response","2014-07-14","print","trans mountain"
"3339","platts","2014-07-15","Questions about new hearing dates for TMX excluded period; When was this change initiated? ","Confirmed new hearing schedule; This change was brought about by TMX's response to NEB IR in June","2014-07-15","web","trans mountain"
"3340","canadian press","2014-07-15","Can the NEB force City of Burnaby to allow access to lands? Can I have link to TMX IR response of 10 June?","TMX would need to apply to NEB for access to land; There are provisions in the Act to grant access, don't want to prejudge until we actually get an application from TMX; Provided link to IR","2014-07-15","print/web","trans mountain"
"3341","daily oil bulletin","2014-07-15","Questions about schedule for gathering oral Aboriginal traditional evidence and TMX plans for Burnaby mountain","Confirmed that 3 sessions will be held to gather oral Aboriginal traditional evidence in order to accommodate salmon harvest; Directed her to TMX IR response for info on new corridor","2014-07-16","web","trans mountain"
"3342","burnaby now","2014-07-15","Questions about dates and ATP process for TMX excluded period","Confirmed new hearing schedule; advised ATP is only related to revised corridor","2014-07-15","print/web","trans mountain"
"3343","globe and mail","2014-07-15","Questions about new hearing dates for TMX excluded period; Can the NEB order Burnaby to grant TM access to city lands? Would there be an oral hearing for that?","Confirmed new hearing dates; Provisions under NEB Act to grant access to lands; Wouldn't be an oral hearing but we would hear from both parties before making decision","2014-07-15","print","trans mountain"
"3344","bloomberg","2014-07-15","Confirm when recommendation report goes to federal government","Confirmed new dates and schedule","2014-07-15","web","trans mountain"
"3345","cknw radio","2014-07-15","Does this announcement start the whole TMX process from scratch? Will EPA now be able to participate?","Does not start the process from scratch; EPA is already participating as a commenter, which is what they had requested","2014-07-16","radio","trans mountain"
"3346","cbc news vancouver","2014-07-15","Confirm when recommendation report goes to federal government","Recommendation report to federal government on 25 January 2016","2014-07-16","radio","trans mountain"
"3347","burnaby news leader","2014-07-15","Questions about new hearing dates and deadline for TMX Recommendation Report; Dates for Irs","Confirmed new dates and schedule","2014-07-15","web","trans mountain"
"3348","financial post","2014-07-16","Enbridge filed ERP for Line 9 but it is redacted? Is this normal? Why the redaction?","Redactions can occur for security reasons or because info is commercially sensitive; Not uncommon to redact; Uncommon to release ERP, this was a condition of their approval","2014-07-16","print","line 9"
"3349","ecolog.com","2014-07-16","Questions about whether this is the first application for alternative to SSRW? Did companies have the right to request an exemption/ alternative prior to Arctic Review? Is it normal for a company to propose an alternative approach? Have the companies filed anything about what their proposal is? when can we expect","Explained this was the first application since Arctic review, but that Imperial had requested an exemption from SSRW back in 2009 - however the exemption was not granted, and the Arctic review took place. Explained that the NEB would consider info presented by companies that identifies a better way to achieve an intended objective or the regulation - i.e. protection of the environment and safety of the public and that proposals would be examined and tested by the board. as for timing - explained that Imperial had indicated that they would file a proposal by Q3 2014 - that we expected something from the companies this year.","2014-07-16","web","arctic"
"3350","vancouver observer","2014-07-16","Why did the NEB refer to the TMX timeout as an excluded period? Was this delay caused in part by the public calls for more time in the hearing?","Media lines","2014-07-17","web","trans mountain"
"3351","nunatsiaq news","2014-07-17","What other seismic programs have been approved in the Arctic? Where they all to discover oil or gas?","provided a list of programs, clarified that they were all looking for hydrocarbons","2014-07-17","prin/onlin","arctic"
"3352","nunatsiaq news","2014-07-18","How many surveys listed below actually ended up in oil mining? Is there a link with a list? 
- How have the local communities responded to the past surveys? Is this a bit too broad a question?
- PGS said it is NEB’s responsibility to determine areas to open for mining, and who to license. How soon, if at all, will the mining happen, and which company do you plan to license the mining? 
- PGS said, the following question is one for the NEB to consider: how will the survey contribute to the local communities in the long term?
- What did you learn when MKI AS received a notice of non-compliance after conducting seismic testing in an active fishing area in NL in 2012?
","used approved media lines, clarified regulatory responsibilities for NEB and AANDC, ","2014-07-22","print/ online","arctic"
"3353","allnovascotia.ca","2014-07-21","Update on pig caught in Deep Panuke pipline ","Responded using media lines","2014-07-21","web","safety and environmental protection"
"3354","toronto star","2014-07-21","1) Would you be able to tell me whether there is something different about the two projects that allows the NEB to consider an equivalency to same season relief wells when compared with conditions set out by the U.S. BOEM for this Shell project that requires a relief well? 

http://www.boem.gov/uploadedFiles/BOEM/About_BOEM/BOEM_Regions/Alaska_Region/Leasing_and_Plans/Plans/2012-04-16_Shell_Clarification_of_Camden_Bay_EP.pdf

2) Does the NEB believe that the time period for comments (until Aug. 1, 2014) was reasonable? Why not allow the public more time to comment on this in the fall, and why would the NEB put out its release on this topic in the middle of summer when some of the interested stakeholders may be on vacation?

3) Does the NEB have any response yet to this letter from NRDC alleging that the board has set a “dangerous precedent” for the Arctic by considering an equivalency to its same season relief well policy?
http://docs.nrdc.org/international/files/int_14071701a.pdf

4) Are there any precedents for the NEB allowing equivalency to a major policy on project proposals such as this one? Is the NEB considering the elimination altogether of its same season relief well policy for projects in this region?
","• The Board stated at the conclusion of its Review of Offshore Drilling in the Canadian Arctic that it was open to evolving technology and that it would consider departures from the Same Season Relief Well (SSRW) Policy on a case-by-case basis. Any applicant wishing to depart from the SSRW Policy must demonstrate how it would meet or exceed the intended outcome of the Policy.   
2) • The NEB received a letter from the Natural Resources Defense Council (NRDC) on July 17 2014 requesting an extension to the public comment period on the draft List of Issues. The Board considered the request and on July 18 extended the deadline for public comment to August 15. See the filing at http://docs.neb-one.gc.ca/fetch.asp?language=E&ID=A61873  and at http://docs.neb-one.gc.ca/fetch.asp?language=E&ID=A61872. 
• At this stage the Board is interested in receiving comments on the issues, or topics, that should be considered when evaluating the proposals of Chevron and Imperial Oil. Those detailed proposals have not yet been filed. 
• The Board is committed to a process that facilitates public participation, and the accessibility of public information was noted by the Board in its decision to evaluate the proposals to be submitted
3) • The Board’s SSRW Policy is that the applicant must demonstrate, in its Contingency Plan, the capability to drill a relief well to kill an out-of-control well during the same drilling season. 
• The Board stated that it will continue to require that any company applying for an offshore drilling authorization provide us with specific details as to how they will either meet this policy, or meet or exceed the intended outcome of the policy, which is to minimize harmful impacts on the environment.
4)• The NEB stated in the Review of Offshore Drilling in the Canadian Arctic report that an applicant wishing to depart from the SSRW Policy would have to demonstrate to the NEB how they will meet or exceed the intended outcome of the SSRW policy. 
• The Board will determine, on a case-by-case basis, which tools are appropriate for meeting or exceeding the intended outcome of the SSRW Policy. The Board has stated that it will examine each application that comes before it on its own merits. 
• Both Imperial and Chevron have indicated that they intend to meet or exceed the intended outcome of the SSRW Policy. The Board has not indicated any intent to re-consider or eliminate its Policy, nor has it been asked to do so.
• Ultimately, drilling cannot occur in the Arctic unless the NEB is satisfied that drilling plans are safe for workers and the public, and that they will protect the environment.
","2014-07-21","online","arctic"
"3355","alaska dispatch","2014-07-21","questions about timing for SSRW, when was policy approved? How much money did offshore leases cost","Discussed timing based on approved lines, said I would get back to her with date when policy was established, referred her to AANDC re: leasing process, and sent her  a link to Arctic Review report","2014-07-21","print/online","arctic"
"3356","radio-canada","2014-07-22","Updated incident data","Provided updated incident data","2014-07-23","tv/radio/web","safety and environmental protection"
"3357","platts","2014-07-22","Asking for info on natural gasoline and condensate imports","We don't track condensate or gasoline imports; Do track natural gas imports. Provided link to reports and suggested he contact Canada Border Services","2014-07-25","print","general inquiry"
"3358","cbc montreal","2014-07-22","Update about Line 9B. Confirm no pipeline going to Portland, Maine. ","Gave update/lifecycle regulator. Confirmed no application for pipeline to Portland. ","2014-07-22","print","line 9"
"3359","junewarren-nickles","2014-07-22","Role of NEB in LNG export licence decision. ","Gave overview. ","2014-07-22","print","lng"
"3360","cbc nunavut","2014-07-22","confirm that seismic program has been delayed, what is reason, will NEB be doing further outreach? What avenues of appeal are there.","Responded using approved media lines, emphasized public revieiw that took place, and how comments and conderns were considered in developing Terms& Conditions, outlined appeal process","2014-07-22","radio/ tv","arctic"
"3361","bloomberg","2014-07-23","Info on Line 3 Inpsection Officer Order","responded using approved media lines.","2014-07-23","tv/web/print","safety and environmental protection"
"3362","bloomberg","2014-07-23","Info on lifting of pressure restriction on Cochin Pipeline","responded using approved media lines.","2014-07-23","tv/web/print","safety and environmental protection"
"3363","daily oil bulletin","2014-07-25","Was the incident on Line 3 resulting in an Inspection Order caused by the rain","Media lines","2014-07-25","web","safety and environmental protection"
"3364","argus media inc.","2014-07-25","Questions about export stats. ","Stats were incorrect. Send correct stats. ","2014-07-28","print","general inquiry"
"3365","halifax chronicle-herald","2014-07-25","Looking for stats onCanadian crude oil exported outside of North America","Provided stats on exports; Indicated that some may be coming directly from Newfoundland offshore","2014-07-25","print/web","general inquiry"
"3366","shaw","2014-07-27","Looking for information about Line 3 IO. ","Sent link to IO. ","2014-07-28","tv","safety and environmental protection"
"3367","allnovascotia.ca","2014-07-28","Has Australia's Liquefied Natrual Gas Ltd. filed export LNG app? What's the licesnsing process?","Company hasn't filed application. Gave general LNG export licensing application process","2014-07-28","web","lng"
"3368","bloomberg","2014-07-28","Update on TransMountain Pressure restriction","Provided update (no change)","2014-07-28","print/web","safety and environmental protection"
"3369","bloomberg","2014-07-28","Update on Line 3 IOO","Provided update (no change)","2014-07-28","print/web","safety and environmental protection"
"3370","toronto star","2014-07-28","I’m hoping to speak to someone there to get your responses to the assertions contained in the court filing","Left a msg saying we had not received the application for judicial review","2014-07-28","online/ print","arctic"
"3371","bnn","2014-07-29","What is the status of TMX's request for access to Burnaby Mountain?","Provided link to NEB letter of 28 July","2014-07-28","tv","trans mountain"
"3372","ckrw","2014-07-29","Can you confirm that TMX issued an errata re: alternate corridors through Burnaby","Provided link to TMX errata as well as link to TMX IR response referred to in errata and NEB letter to City of Burnaby issued 29 July","2014-07-29","radio","trans mountain"
"3373","nunavut news","2014-07-30","Questions related to Judicial Review of MKI","1) Was the appeal of the Baffin Bay decision submitted on time (I see  July 28, but the deadline was 30 days after June 26 - was it business days or calendar days)? 
The judicial review was submitted on time. Essentially it is 30 calendar days, but if the 30 days ends on a holiday (in this case a Saturday) then the 30 day period ends on the following business day – Monday July 28. Information on the deadline and computation of time is set out in the Federal Courts Act and  the Interpretation Act.

2) What is the process now? 
The next step is for the Applicants to file their affidavits and documentary exhibits in support of the judicial review application in accordance with the Federal Courts Rules. 

3) What does MKI have the authority to do in the meantime (I understand  they've chosen not to do anything until next year anyway)? Does an  appeal place any restrictions on their actions? 
I can confirm that the company has indicated that they will not begin operations until 2015. Unless a judge orders a stay or an injunction, there is nothing preventing MKI from beginning operations as per the terms and conditions attached to their approval. The Applicant in the judicial review has requested interim, interlocutory and permanent injunction restraining the Proponents from commencing the Project. The Court will decide whether to grant the request. 

4) What happens if the appeal is successful? 
I can’t speculate as to what would happen next, but will provide a plan of action after judicial review decision.
","2014-07-31","online","arctic"
"3374","burnaby now","2014-07-30","Questions about the TMX errata of 25 July and process for a s. 73 order","Provided links to documents referenced in the errata; Board will respond to TMX letter on s. 73 in due course","2014-07-30","print","trans mountain"
"3375","daily oil bulletin","2014-08-01","Who is making up the TMX Panel?","Provided names of panel members","2014-08-05","online","trans mountain"
"3376","international news services","2014-08-05","Looking for information on EU exports.","Advised that the volume is so small it is considered commercially sensitive information. Directed her to CAPP and the AER.","2014-08-05","print","general inquiry"
"3377","bunaby now","2014-08-11","What happens next in the constitutional challenge filed by the City of Burnaby over s. 73(a) of the NEB Act","Board has not made a decision on how it will deal with this motion","2014-08-11","print","trans mountain"
"3378","burnaby newsleader","2014-08-12","What happens next in the constitutional challenge filed by the City of Burnaby over s. 73(a) of the NEB Act","Board has not made a decision on how it will deal with this motion","2014-08-12","print","trans mountain"
"3379","platts","2014-08-12","Clarification on Draft Incident Reporting Guidelines","","2014-08-12","print/online","safety and environmental protection"
"3380","delta optimist","2014-08-12","Wanted stats on quantity of LNG approved for export and pending in applications. Also wanted info on how to be a commentor in WesPac","Sent stats.  Provided info on how to submit comment","2014-08-14","print","lng"
"3381","brandon sun","2014-08-12","Info on Line 3 Inpsection Officer Order","responded using approved media lines","2014-08-12","print/online","safety and environmental protection"
"3382","radio canada","2014-08-13","Looking for info on Line 9B on the Regulatory Index. ","Sent links to Regulatory Index. ","2014-08-13","print/online","line 9"
"3383","nunatsiaq news","2014-08-13","Questions about Public interest in previous seismic activity in Arctic, and MKI","Provide info around limited public interest or involvement in past, explained that company must follow through on all commitments made during review, and will be monitored for compliance","2014-08-14","print/ online","arctic"
"3384","bloomberg","2014-08-14","Looking for hiring stats specifically our legal department","Provided her with FTE stats for the past 3 years and employee numbers for legal for the past 3 years.","2014-08-22","print","general inquiry"
"3385","global news regina","2014-08-15","Update on Rowatt Pump Station release","responded using approved media lines","2014-08-15","web/tv","safety and environmental protection"
"3386","the vancouver observer","2014-08-15","All the currently proposed oil and gas pipelines in Canada?","Advised that we could only provide information on NEB-regulated pipelines and provided him the link to the Major Applications and Projects web page","2014-08-15","print","general inquiry"
"3387","vancouver observer","2014-08-15","Does the NEB have a list of all proposed pipeline projects in Canada?","Do not have a list; NEB regulates only a small portion of pipes in Canada; Provided link to Major apps and projects before the Board","n/a","web","general inquiry"
"3388","bloomberg","2014-08-18","Update on TMPL pressure restriction","responded using approved media lines","2014-08-18","print/web","safety and environmental protection"
"3389","nunatsiaq news","2014-08-18","Questions about which marine mammals can be found in region, also requesting persmission to use photo from EA","Directed her to the Interaction Assessment report filed by the company, and identified the photo and gave her permission to use as long as it was credited","2014-08-18","print/ online","arctic"
"3390","burnaby newsleader","2014-08-19","Does the NEB's ruling #28 mean that Company can access city owned land without an NEB order? Next steps?","Yes, no order required; Up to the city and company to determine how to proceed next","2014-08-19","print","trans mountain"
"3391","burnaby now","2014-08-19","Questions about the NEB's Ruling #28 for TMX re: access by company to City of Burnaby lands","Yes, no order required; Up to the city and company to determine how to proceed next","2014-08-19","print","trans mountain"
"3392","cp","2014-08-19","Questions about the NEB's Ruling #28 for TMX re: access by company to City of Burnaby lands","Yes, no order required; Up to the city and company to determine how to proceed next","2014-08-19","print","trans mountain"
"3393","cknw radio","2014-08-19","Questions abou the NEB's Ruling #28 ","Yes, no order required; Up to the city and company to determine how to proceed next","2014-08-19","radio","trans mountain"
"3394","cbc north","2014-08-19","Questions about SSRW and comment on Sierra Club's accusations around subverting public process","answered questions about where we are in the process, what has been dones, what still has to be done, and clarifying that the NEB will still provide an opportunity for public involvment","2014-08-19","radio/ online","arctic"
"3395","cbc north","2014-08-19","Questions about SSRW and comment on Sierra Club's accusations around subverting public process","answered questions about where we are in the process, what has been dones, what still has to be done, and clarifying that the NEB will still provide an opportunity for public involvment","2014-08-19","radio/ online","arctic"
"3396","northern news services","2014-08-19","Questions about SSRW and comment on Sierra Club's accusations around subverting public process - confused by CBC report","answered questions about where we are in the process, what has been dones, what still has to be done, and clarifying that the NEB will still provide an opportunity for public involvment","2014-08-19","print/ online","arctic"
"3397","journal of commerce","2014-08-20","Questions about the NEB's Ruling #28 for TMX re: access by company to City of Burnaby lands","Provided link to ruling; Described next steps","2014-08-20","print","trans mountain"
"3398","24 hours/qmi vancouver","2014-08-20","Questions abou the NEB's Ruling #28 ","Directed him to ruling","2014-08-20","print","trans mountain"
"3399","cbc radio vancouver","2014-08-20","Questions about the NEB's Ruling #28 for TMX re: access by company to City of Burnaby lands","Media lines","2014-08-20","radio","trans mountain"
"3400","rdi vancouver","2014-08-20","Questions about the NEB's Ruling #28 for TMX re: access by company to City of Burnaby lands","Media lines","2014-08-20","radio","trans mountain"
"3401","international environment reporter","2014-08-21","Is the NEB holdinging Aboriginal OTE for TMX related to the recent Supreme Court decision?","No, we've been doing this for a while; happened in Gateway","2014-08-21","print/online","trans mountain"
"3402","ohs canada","2014-08-21","1. Is the new filing requirement (in which companies regulated under the Canada Oil and Gas Operations Act (COGOA) have to disclose information on fracturing practices and fluids) fully operational? Does this include chemicals that are protected under the proprietary rights? 

2. Considering that unconventional drilling has only been around for about a decade, is there a need for greater regulatory enforcement with regards to fracking ops and disclosing the chemicals used in fracking?

3. What does the COGOA say with regards to worksite monitoring and worker protective measures surrounding hydraulic fracturing activities? Is this area being adequately enforced? 

4. Any recent developments surrounding regulations of hydraulic fracturing ops? 
","1. A) Is the new filing requirement (in which companies regulated under the Canada Oil and Gas Operations Act (COGOA) have to disclose information on fracturing practices and fluids) fully operational? 
Yes, the National Energy Board (NEB) is now fully online with FracFocus.ca The NEB requests regulated companies to disclose information on the hydraulic fracturing practices and fluids they use in their operations on the Fracfocus.ca website 30 days after the hydraulic fracturing operation has been completed.  
On October 30 2013 the NEB issued the first and only authorization to date for multi-stage hydraulic fracturing in horizontal wells in the North.  Those two wells were drilled last winter, and ConocoPhillips disclosed the chemicals used in the operation on the FracFocus.ca website.
1.  B) Does this include chemicals that are protected under the proprietary rights? 
Yes.  In cases where a company uses chemicals that are protected by Trademark, the NEB can  ask the regulated company to provide the information in a format which allows for public disclosure of the chemicals without revealing proprietary rights (i.e. they provide the ingredients, but not the recipe).  
2. Considering that unconventional drilling has only been around for about a decade, is there a need for greater regulatory enforcement with regards to fracking ops and disclosing the chemicals used in fracking?
The NEB has strong compliance and enforcement mechanisms in place under the Canada Oil and Gas Act (COGOA). The NEB reinforced and clarified its expectations of companies with the release of Filing Requirements for Onshore Drilling Operations Involving Hydraulic Fracturing in September 2013. In November 2013, the NEB also joined FracFocus.ca to support Canadians having ready access to important information on the process and understand how the NEB promotes safety and environmental protection for these types of activities. 
3. What does the COGOA say with regards to worksite monitoring and worker protective measures surrounding hydraulic fracturing activities? Is this area being adequately enforced? 
The NEB will not authorize any work or activity proposed for the exploration of oil or gas in the North unless it is satisfied that company’s plans are safe for workers and the public, and will protect the environment.
In addition to the following regulatory instruments, all NEB-regulated companies are also subject to Canada Labour Code Part II and the Oil and Gas Occupational Health and Safety Regulations.
• Canada Oil and Gas Drilling and Production Regulations
• Safety Plan Guidelines
• Environmental Protection Guidelines
• Filing Requirements for Onshore Drilling Operations Involving Hydraulic Fracturing
4. Any recent developments surrounding regulations of hydraulic fracturing ops? 
There have been no recent developments in regulation, however there has been a shift in regulatory responsibilities. On April 1, 2014, the Government of the Northwest Territories (GNWT) became responsible for the regulation of oil and gas activities in the NWT onshore outside of the Inuvialuit Settlement Region and the Norman Wells Proven Area.  All of the regions in the Northwest Territories where there have been shale oil and gas exploration activities in the past three years are now regulated by the GNWT. 
I hope this is helpful. Please give me a call if you have any additional questions.
","2014-08-29","print","general inquiry"
"3403","national post","2014-08-22","How many communities are giving OTE for TMX? Logistics. ","67 Aboriginal Intervenors. 46 groups and 3 individuals providing OTE.","2014-08-21","print/online","trans mountain"
"3404","edmonton journal","2014-08-22","Which groups are giving OTE in Edmonton? ","• Metis Nation of Alberta – Gunn Metis Local 55
• Samson Cree Nation
• Michel First Nation
• O’Chiese First Nation
","2014-08-22","print/online","trans mountain"
"3405","platts","2014-08-25","Information on AMPs","responded using approved media lines","2014-08-25","print/online","safety and environmental protection"
"3406","bloomberg","2014-08-25","Update on Line 3 IOO","provided update","2014-08-25","print/online","safety and environmental protection"
"3407","delta optimist","2014-08-25","understanding LNG stats.  Have we approved more export quantities than what we actually have. Did verify with LSU that I could provide info as Ian also states he intends to submit a letter of comment for WesPac","Preapproved meda lines","2014-08-25","print/online","lng"
"3408","globe and mail","2014-08-25","General questions about OTE for TMX. ","Media lines. ","2014-08-26","print/online","trans mountain"
"3409","national post","2014-08-25","General questions about OTE for TMX. ","Media lines. ","2014-08-25","print/online","trans mountain"
"3410","delta optimist","2014-08-26","Follow-up on LNG explort licsence apps. Could the Board's approach to these apps lead us to Cdn shortgages if we don't look at cumulative values? ","Media lines; content from Decision Letters","2014-08-27","print/online","lng"
"3411","sweetgrass","2014-08-26","General questions about OTE for TMX. ","Media lines. ","2014-08-26","print","trans mountain"
"3412","edmonton journal","2014-08-26","General questions about OTE for TMX. ","Media lines. ","2014-08-26","print/online","trans mountain"
"3413","radio canada","2014-08-27","General questions about OTE for TMX. ","Media lines. ","2014-08-27","tv","trans mountain"
"3414","radio canada","2014-08-27","General questions about OTE for TMX. ","Media lines. ","2014-08-27","radio","trans mountain"
"3415","platts","2014-08-27","General questions about OTE for TMX. ","Media lines. ","2014-08-27","radio","trans mountain"
"3416","platts","2014-08-29","Status update for Energy East. ","Waiting application. ","2014-08-29","print/online","energy east"
"3417","northern sentinel","2014-08-29","looking for Cedar LNG application","directed to Reg Index Inbox","2014-08-29","print/online","lng"
"3418","platts","2014-09-02","looking for Cedar LNG application","directed to Reg Index Inbox","2014-09-02","print/online","lng"
"3419","natural gas week","2014-09-03","how to get updates on LNG apps","added to media list, sent web page info","2014-09-03","print/online","lng"
"3420","northwest coast energy news","2014-09-03","looking for Cedar LNG application","directed to Reg Index filings","2014-09-03","print/online","lng"
"3421","sweetgrass","2014-09-03","Looking for transcripts and next steps on TMX OTE","provided links and discussed next three sessions for OTE","2014-09-03","print","trans mountain"
"3422","cbc","2014-09-04","Status update for Energy East. ","Waiting application. ","2014-09-04","radio","energy east"
"3423","globe and mail","2014-09-04","Next steps in TMX/City of Burnaby dispute for access to Burnaby Mtn","NEB issued a ruling confirming rights under s.73; Next steps will be up to company to decide; Possible the company may need to go to court; Provided link to TMX motion","2014-09-04","print/web","trans mountain"
"3424","vnacouver sun","2014-09-04","What is NEB's position on whether city bylaws take precendence over what TMX is doing on Burnaby Mtn? Should TMX have gone back to the public when it realized trees needed to be cut down/seek second arbourist opinion?","We issued a ruling in August on this issue saying that section 73(a) of the NEB Act gives a company the right to access land it does not own for the purposes of carrying out surveys and studies related to the construction of a pipeline. Since then, Trans Mountain has filed a motion with the NEB requesting an order under this section of the NEB Act. We will determine a process for reviewing that motion and decide whether or not to issue such an order.


As part of our hearing, we will be reviewing the records of Trans Mountains communications and consultation with the public. If we find that they have not done an adequate job, we can direct them to make improvements. Further more, the NEB Act says that companies must do as little damage as possible when conducting field work. If there is damage sustained then the landowner and company are to agree on the amount of compensation payable.  A company is required to make full compensation for any damage sustained. Should agreement not be reached normally the company or the landowner can serve notice of negotiation on the other and on the Minister or request that the matter be settle by arbitration through the Minister. 
We issued a ruling in August on this issue saying that section 73(a) of the NEB Act gives a company the right to access land it does not own for the purposes of carrying out surveys and studies related to the construction of a pipeline. Since then, Trans Mountain has filed a motion with the NEB requesting an order under this section of the NEB Act. We will determine a process for reviewing that motion and decide whether or not to issue such an order.


As part of our hearing, we will be reviewing the records of Trans Mountains communications and consultation with the public. If we find that they have not done an adequate job, we can direct them to make improvements. Further more, the NEB Act says that companies must do as little damage as possible when conducting field work. If there is damage sustained then the landowner and company are to agree on the amount of compensation payable.  A company is required to make full compensation for any damage sustained. Should agreement not be reached normally the company or the landowner can serve notice of negotiation on the other and on the Minister or request that the matter be settle by arbitration through the Minister. 
","2014-09-04","print/web","trans mountain"
"3425","burnabynow","2014-09-04","Does the NEB have a comment on the dispute between the City of Burnaby and TMX re: access to Burnaby Mountain","We issued a ruling in August on this issue saying that section 73(a) of the NEB Act gives a company the right to access land it does not own for the purposes of carrying out surveys and studies related to the construction of a pipeline. Will be up to TMX to determine next steps, possibly court.","2014-09-04","print","trans mountain"
"3426","metro news vancouver","2014-09-05","Where is Kinder Morgan's most recent filing? ","Sent link. ","2014-09-05","print/online","trans mountain"
"3427","burnaby news leader","2014-09-05","Could you comment on dispute between TMX/City of Burnaby?","NEB has asked for comments from City re: TMX motion for order to access land","2014-09-08","print","trans mountain"
"3428","bloomberg","2014-09-08","Update on TMPL pressure restriction","responded using approved media lines.","2014-09-08","print/web","safety and environmental protection"
"3429","burnaby now","2014-09-08","Questions about supplemental ATP and Burnaby Mountain dispute","ATP open for those affected by new corridor through Burnaby Mtn; current intervenors don't need to reapply; commenters can reapply to be intervenors","2014-09-08","print","trans mountain"
"3430","vancouver sun","2014-09-08","Will the Board issue a decision after hearing from city and TMX? Will their be a hearing? Is the public allowed to file submissions?","Board could issue a ruling once hearing from both parties or could ask for additional steps; motions generally dealt with in writing with no hearing but up to the Board","2014-09-08","print","trans mountain"
"3431","burnaby news leader","2014-09-08","Is it unusual for two parties to have such different interpretations of a Board ruling? Is an order enforceable?","Order can be filed in court and be enforced; Not highly unusual for different parties to have different interpretations","2014-09-08","print","trans mountain"
"3432","canadian press","2014-09-09","Can the Board comment on the suit filed by the City of Burnaby for an injunction against TMX?","Board is reviewing the documents and will determine our next steps in due course","2014-09-09","print","trans mountain"
"3433","la presse","2014-09-12","Seeking comment on letter sent to NEB from City of Montreal. ","Confirmed that we have received and are reviewing the letter. ","2014-09-12","print/web","energy east"
"3434","radio canada","2014-09-15","General questions about the NEB's review process. ","Gave overview of process. ","2014-09-15","radio","energy east"
"3435","cbc toronto","2014-09-15","Is Line 9 operational? ","No. Gave overview of conditions and NEB requirements. ","2014-09-15","print/web","line 9"
"3436","university of toronto the varsity","2014-09-16","Looking for documents related to constitutional challenge filed by Daniel Harvey","Provided documents; Indicated that NAME REMOVED had since filed for leave to appeal with Federal Court of Appeal","2014-09-16","print","trans mountain"
"3437","radio canada","2014-09-16","Is Line 9 operational? ","No. Gave overview of conditions and NEB requirements. ","2014-09-16","print/web","line 9"
"3438","globe and mail","2014-09-17","Now that the BC Supreme Court has released its decision re: Burnaby filing, what's next? When will NEB release its ruling?","Media Lines","2014-09-17","print/web","trans mountain"
"3439","vancouver 24 hours","2014-09-17","Any sense of when the NEB's ruling on TMX motion for access order will be released?","Media Lines","2014-09-17","print","trans mountain"
"3440","daily oil bulletin","2014-09-17","When is the NEB's ruling on TMX motion for access order coming out","Media Lines","2014-09-17","web","trans mountain"
"3441","ctv","2014-09-25","What is the NEB's role in Emergency response exercises? Is the company required to perform exercies?","Regulated companies must demonstrate capacity and training and exercises are the best way to do that","2014-09-25","tv","safety and environmental protection"
"3442","burnaby now","2014-09-25","Can the NEB consider a constitutional question? What are the next steps now that the NEB has turned down TMX request for access order?","Media Lines; High level overview of process for considering constitutional question under NEB Act","2014-09-25","print","trans mountain"
"3443","burnaby newsleader","2014-09-25","Can the NEB consider a constitutional question? What are the next steps now that the NEB has turned down TMX request for access order?","Media Lines; High level overview of process for considering constitutional question under NEB Act","2014-09-25","print","trans mountain"
